kepoi_name,kepler_name,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,target
K01202.01,Kepler-787 b,0.99,0,0,0,0,0.928310036,2.161e-06,-2.161e-06,133.80358,0.00185,-0.00185,0.181,0.277,-0.181,1.1899,0.0617,-0.0617,376.2,20.5,-20.5,1.16,0.05,-0.06,1115.0,,,365.72,66.38,-61.12,22.6,1.0,4109.0,82.0,-82.0,4.672,0.022,-0.025,0.602,0.027,-0.03,15.854,1
K00152.03,Kepler-79 b,1.0,0,0,0,0,13.48457668,2.3e-05,-2.3e-05,136.61808,0.00132,-0.00132,0.011,0.319,-0.011,5.0197,0.0395,-0.0395,653.5,8.8,-8.8,3.39,0.63,-0.52,929.0,,,176.29,90.17,-60.44,80.8,2.0,6198.0,111.0,-136.0,4.237,0.13,-0.117,1.324,0.247,-0.202,13.914,1
K01203.01,Kepler-276 c,0.999,0,0,0,0,31.8841473,0.0002099,-0.0002099,160.20696,0.00453,-0.00453,0.938,0.007,-0.682,6.122,0.217,-0.217,910.0,37.4,-37.4,3.7,0.6,-0.2,563.0,,,23.82,10.12,-3.76,25.3,1.0,5779.0,78.0,-86.0,4.477,0.032,-0.128,0.974,0.158,-0.053,15.368,1
K00990.01,,,0,0,0,0,67.69213907,6.02e-05,-6.02e-05,138.534171,0.000701,-0.000701,0.5581,0.0024,-0.0028,51.349,0.0428,-0.0428,25457.0,77.8,-77.8,175.98,72.71,-110.2,1173.0,,,448.21,536.28,-396.39,1328.2,,5355.0,129.0,-246.0,2.754,0.587,-0.176,10.703,4.422,-6.705,10.7,0
K00991.01,Kepler-744 b,0.999,0,0,0,0,12.06222962,2.75e-05,-2.75e-05,138.22229,0.00177,-0.00177,0.392,0.044,-0.392,2.0584,0.0572,-0.0572,300.2,10.8,-10.8,1.62,0.21,-0.13,750.0,,,74.8,27.47,-17.09,32.4,1.0,5547.0,99.0,-110.0,4.451,0.076,-0.093,0.933,0.12,-0.08,13.581,1
K00992.01,Kepler-745 b,0.848,0,0,0,0,9.93146307,5.186e-05,-5.186e-05,136.49128,0.00442,-0.00442,0.037,0.408,-0.037,5.678,0.127,-0.127,398.6,16.4,-16.4,2.41,0.39,-0.35,931.0,,,177.83,74.92,-54.5,26.2,1.0,5782.0,78.0,-78.0,4.28,0.137,-0.112,1.22,0.196,-0.176,15.214,1
K00993.01,Kepler-262 c,1.0,0,0,0,0,21.85362905,9.226e-05,-9.226e-05,144.32031,0.00379,-0.00379,0.676,0.035,-0.511,3.439,0.108,-0.108,355.6,16.7,-16.7,1.75,0.47,-0.16,618.0,,,34.57,26.7,-8.92,23.0,1.0,5830.0,146.0,-161.0,4.54,0.044,-0.187,0.876,0.234,-0.078,14.246,1
K01060.04,Kepler-758 e,0.884,0,0,0,0,8.19345065,7.089e-05,-7.089e-05,138.99617,0.00668,-0.00668,0.815,0.149,-0.576,5.234,0.207,-0.207,115.4,7.6,-7.6,1.74,0.27,-0.4,1144.0,,,405.75,180.0,-185.24,15.7,4.0,6021.0,120.0,-120.0,4.093,0.195,-0.105,1.458,0.226,-0.339,14.348,1
K00140.01,,0.0,0,1,1,1,19.97867,5.87e-05,-5.87e-05,137.17061,0.0024,-0.0024,0.923,0.006,-0.011,10.168,0.178,-0.178,944.3,13.0,-13.0,6.85,2.9,-1.56,1351.0,,,788.02,997.18,-402.86,86.2,1.0,9651.0,272.0,-467.0,4.229,0.126,-0.234,1.895,0.803,-0.432,13.849,0
K01061.01,Kepler-759 b,1.0,0,0,0,0,41.8059544,0.0002153,-0.0002153,142.81919,0.00456,-0.00456,0.029,0.428,-0.029,6.057,0.147,-0.147,434.4,17.8,-17.8,02.02,0.61,-0.26,533.0,,,19.02,16.84,-6.42,28.3,1.0,5907.0,159.0,-195.0,4.445,0.084,-0.196,0.973,0.294,-0.126,14.502,1
K01062.01,,0.0,0,1,1,0,15.45158184,8.522e-05,-8.522e-05,142.21096,0.00426,-0.00426,0.636,0.297,-0.408,2.406,0.147,-0.147,85.3,5.1,-5.1,02.02,0.49,-0.41,1285.0,,,643.83,467.09,-295.46,21.0,1.0,7839.0,216.0,-324.0,04.08,0.13,-0.159,2.069,0.505,-0.413,11.798,0
K01063.01,,0.0,0,1,0,0,89.698168533,4.405e-06,-4.405e-06,176.3060152,3.4e-05,-3.4e-05,0.684,0.025,-0.023,5.5418,0.00466,-0.00466,273110.0,136.0,-136.0,102.08,26.76,-40.11,554.0,,,22.33,17.72,-15.14,3420.3,1.0,6214.0,187.0,-206.0,4.021,0.392,-0.168,1.583,0.415,-0.622,13.624,0
K01064.01,,0.557,0,1,0,0,1.187352427,2.53e-07,-2.53e-07,133.465454,0.000176,-0.000176,1.222,0.026,-0.029,4.999,0.0139,-0.0139,20703.0,37.3,-37.3,67.35,20.04,-16.42,2251.0,,,6067.3,5334.23,-3101.3,717.4,1.0,6424.0,179.0,-247.0,4.186,0.18,-0.18,1.489,0.443,-0.363,13.623,0
K00015.01,,0.0,0,1,1,1,3.012476582,1.161e-06,-1.161e-06,135.259271,0.000298,-0.000298,1.261,0.509,-0.102,3.1424,0.0155,-0.0155,1138.5,5.5,-5.5,65.25,19.12,-12.72,2371.0,,,7471.65,6472.63,-3492.78,253.4,1.0,8601.0,240.0,-412.0,4.137,0.098,-0.182,2.031,0.595,-0.396,12.403,0
K00148.01,Kepler-48 b,1.0,0,0,0,0,4.77800306,3.382e-06,-3.382e-06,124.061465,0.000588,-0.000588,0.02,0.359,-0.02,2.7361,0.0184,-0.0184,473.0,4.6,-4.6,1.85,0.13,-0.14,932.0,,,177.79,44.24,-37.22,115.4,2.0,5192.0,103.0,-103.0,4.489,0.066,-0.054,0.873,0.065,-0.065,13.04,1
